领域代码,领域,地区代码 (M49),地区,要素代码,要素,科目代码,科目,年份代码,年份,单位,值,标识,标识描述,说明
"FS","粮食安全指标套系","159","中国","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2000","2000","%","2.2","X","Figure from international organizations",""
"FS","粮食安全指标套系","159","中国","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2001","2001","%","2.3","X","Figure from international organizations",""
"FS","粮食安全指标套系","159","中国","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2002","2002","%","2.5","X","Figure from international organizations",""
"FS","粮食安全指标套系","159","中国","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2003","2003","%","2.6","X","Figure from international organizations",""
"FS","粮食安全指标套系","159","中国","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2004","2004","%","2.7","X","Figure from international organizations",""
"FS","粮食安全指标套系","159","中国","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2005","2005","%","2.9","X","Figure from international organizations",""
"FS","粮食安全指标套系","159","中国","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2006","2006","%","3.1","X","Figure from international organizations",""
"FS","粮食安全指标套系","159","中国","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2007","2007","%","3.3","X","Figure from international organizations",""
"FS","粮食安全指标套系","159","中国","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2008","2008","%","3.5","X","Figure from international organizations",""
"FS","粮食安全指标套系","159","中国","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2009","2009","%","3.7","X","Figure from international organizations",""
"FS","粮食安全指标套系","159","中国","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2010","2010","%","4","X","Figure from international organizations",""
"FS","粮食安全指标套系","159","中国","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2011","2011","%","4.2","X","Figure from international organizations",""
"FS","粮食安全指标套系","159","中国","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2012","2012","%","4.5","X","Figure from international organizations",""
"FS","粮食安全指标套系","159","中国","6121","Value","21042","Prevalence of obesity in the adult population (18 years and older) (percent)","2013","2013","%","4.8","X","Figure from international organizations",""
