国家或地区,2000-01-01,2001-01-01,2002-01-01,2003-01-01,2004-01-01,2005-01-01,2006-01-01,2007-01-01,2008-01-01,2009-01-01,2010-01-01,2011-01-01,2012-01-01,2013-01-01,2014-01-01,2015-01-01,2016-01-01,2017-01-01,2018-01-01,2019-01-01
year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
中非,44.9,44.1,43.4,42.7,42,41.4,41.2,40.7,40.1,39.5,38.4,38.3,38.1,37.9,37.5,37.4,37.1,37,36.9,36.8
东南亚,38,37.8,37.1,36.3,35.6,34.4,33.9,32.9,32.3,31.9,31.6,30.9,30.5,30.3,29.8,29.1,28.7,28.4,28.1,27.7
北美,3.2,3.2,3.2,3.1,3.1,2.8,2.8,2.8,2.8,2.8,2.7,2.8,2.8,2.9,3,3.1,3.1,3,3.2,3.2
北欧,4.3,4.2,4,4,4,4,3.9,3.8,3.8,3.6,3.6,3.4,3.4,3.2,3.2,3.2,3.1,3.1,3,2.9
东非,49.1,48.2,48,47.3,46.7,45.2,44.8,44,43.8,42.6,40.8,39.8,38.4,37.9,37,36.2,35.5,34.3,32.6,32
中亚,29,28.3,27.1,26.5,24.4,22.3,21.7,20.9,20,18.4,17.1,16.7,15,13.9,13,12.8,12.3,12,11.4,10.9
中国,17.8,18.6,19.2,20,20.4,21.8,19.4,17.9,15.3,14.2,11.7,10.1,9.7,9.4,8.1,7.3,5.5,4.8,4.2,4
南亚,48.3,48.3,48.1,47.6,46.7,46.2,45.7,45.5,43.9,43.1,42.6,41.4,40.2,38.9,37.7,36.5,35.4,34.1,32.9,31.7
西亚,24.3,23.8,23.7,23.2,23,22.9,22.6,22.2,21.3,20.1,19.3,18.5,17.8,17.2,16.7,16.1,15.6,14.2,13.5,13
西欧,2.9,2.9,2.9,2.8,2.8,2.8,2.8,2.7,2.7,2.6,2.6,2.6,2.6,2.6,2.5,2.4,2.4,2.4,2.3,2.3
